Language, Rank, Date
JavaScript, 1, 09-30-2012
JavaScript, 1, 01-31-2013
Java, 1, 06-30-2013
JavaScript, 1, 01-30-2014
JavaScript, 1, 06-30-2014
JavaScript, 1, 01-30-2015
JavaScript, 1, 06-30-2015
JavaScript, 1, 01-30-2016
JavaScript, 1, 06-30-2016
JavaScript, 1, 01-30-2017
JavaScript, 1, 06-30-2017
JavaScript, 1, 01-30-2018
JavaScript, 1, 06-30-2018
Java, 2, 09-30-2012
Java, 2, 01-31-2013
JavaScript, 2, 06-30-2013
Java, 2, 01-30-2014
Java, 2, 06-30-2014
Java, 2, 01-30-2015
Java, 2, 06-30-2015
Java, 2, 01-30-2016
Java, 2, 06-30-2016
Java, 2, 01-30-2017
Java, 2, 06-30-2017
Java, 2, 01-30-2018
Java, 2, 06-30-2018
PHP, 3, 09-30-2012
PHP, 3, 01-31-2013
PHP, 3, 06-30-2013
PHP, 3, 01-30-2014
PHP, 3, 06-30-2014
PHP, 3, 01-30-2015
PHP, 3, 06-30-2015
PHP, 3, 01-30-2016
PHP, 3, 06-30-2016
Python, 3, 01-30-2017
Python, 3, 06-30-2017
Python, 3, 01-30-2018
Python, 3, 06-30-2018
Python, 4, 09-30-2012
Python, 4, 01-31-2013
Python, 4, 06-30-2013
C#, 4, 01-30-2014
Python, 4, 06-30-2014
Python, 4, 01-30-2015
Python, 4, 06-30-2015
Python, 4, 01-30-2016
Python, 4, 06-30-2016
PHP, 4, 01-30-2017
PHP, 4, 06-30-2017
PHP, 4, 01-30-2018
PHP, 4, 06-30-2018
Ruby, 5, 09-30-2012
Ruby, 5, 01-31-2013
Ruby, 5, 06-30-2013
Python, 5, 01-30-2014
C#, 5, 06-30-2014
C#, 5, 01-30-2015
C#, 5, 06-30-2015
C#, 5, 01-30-2016
C#, 5, 06-30-2016
C#, 5, 01-30-2017
C#, 5, 06-30-2017
C#, 5, 01-30-2018
C#, 5, 06-30-2018
C#, 6, 09-30-2012
C#, 6, 01-31-2013
C#, 6, 06-30-2013
C++, 6, 01-30-2014
C++, 6, 06-30-2014
C++, 6, 01-30-2015
C++, 6, 06-30-2015
C++, 6, 01-30-2016
C++, 6, 06-30-2016
C++, 6, 01-30-2017
C++, 6, 06-30-2017
C++, 6, 01-30-2018
C++, 6, 06-30-2018
C++, 7, 09-30-2012
C++, 7, 01-31-2013
C++, 7, 06-30-2013
Ruby, 7, 01-30-2014
Ruby, 7, 06-30-2014
Ruby, 7, 01-30-2015
Ruby, 7, 06-30-2015
Ruby, 7, 01-30-2016
Ruby, 7, 06-30-2016
CSS, 7, 01-30-2017
CSS, 7, 06-30-2017
CSS, 7, 01-30-2018
CSS, 7, 06-30-2018
C, 8, 09-30-2012
C, 8, 01-31-2013
C, 8, 06-30-2013
C, 8, 01-30-2014
CSS, 8, 06-30-2014
CSS, 8, 01-30-2015
CSS, 8, 06-30-2015
CSS, 8, 01-30-2016
CSS, 8, 06-30-2016
Ruby, 8, 01-30-2017
Ruby, 8, 06-30-2017
Ruby, 8, 01-30-2018
Ruby, 8, 06-30-2018
Objective-C, 9, 09-30-2012
Objective-C, 9, 01-31-2013
Objective-C, 9, 06-30-2013
Objective-C, 9, 01-30-2014
C, 9, 06-30-2014
C, 9, 01-30-2015
C, 9, 06-30-2015
C, 9, 01-30-2016
C, 9, 06-30-2016
C, 9, 01-30-2017
C, 9, 06-30-2017
C, 9, 01-30-2018
C, 9, 06-30-2018
Shell, 10, 09-30-2012
Perl, 10, 01-31-2013
Shell, 10, 06-30-2013
CSS, 10, 01-30-2014
Objective-C, 10, 06-30-2014
Objective-C, 10, 01-30-2015
Objective-C, 10, 06-30-2015
Objective-C, 10, 01-30-2016
Objective-C, 10, 06-30-2016
Objective-C, 10, 01-30-2017
Objective-C, 10, 06-30-2017
Swift, 10, 01-30-2018
Objective-C, 10, 06-30-2018
Perl, 11, 09-30-2012
Shell, 11, 01-31-2013
Perl, 11, 06-30-2013
Perl, 11, 01-30-2014
Shell, 11, 06-30-2014
Perl, 11, 01-30-2015
Perl, 11, 06-30-2015
Shell, 11, 01-30-2016
Shell, 11, 06-30-2016
Scala, 11, 01-30-2017
Swift, 11, 06-30-2017
